BookCode,Chapter,VideoId
gen,0,1113451550
gen,1,1113462490
gen,2,1113504241
gen,3,1113505974
gen,4,1113508765
gen,5,1113516957
gen,6,1113519127
gen,7,1113792122
gen,8,1113794312
gen,9,1113809841
gen,10,1113845162
gen,11,1114136132
gen,12,1114149370
gen,13,1114763719
gen,14,1114764431
gen,15,1114768213
gen,16,1114786573
gen,17,1114804676
gen,18,1114817109
gen,19,1114828803
gen,20,1114838736
mat,0,1112230407
mat,1,1112204873
mat,2,1112231857
mat,3,1112233945
mat,4,1112234892
mat,5,1112236432
mat,7,1112239205
mat,8,1112241903
mat,9,1112244577
mat,12,1112247939
mat,13,1112250977
mat,14,1112810745
mat,15,1112826260
mat,16,1112828513
mat,17,1112831239
mat,18,1112834817
mat,19,1112839842
mat,20,1112848731
mat,21,1113115372
mat,22,1113117520
mat,23,1113120726
mat,24,1113123037
mat,25,1113126247
mat,26,1113128752
mat,27,1113132019
mat,28,1113537403
