verse,time
1,00:00:20:12
2,00:00:24:15
3,00:00:36:20
4,00:00:47:18
5,00:01:04:18
6,00:01:12:16
7,00:01:33:10
8,00:01:48:17
9,00:02:08:17
10,00:02:26:11
11,00:03:01:21
12,00:03:10:20
13,00:03:20:13
14,00:03:39:24
15,00:04:00:27
16,00:04:06:24
17,00:04:14:10
18,00:04:21:22
19,00:04:32:04
20,00:04:50:00
21,00:05:04:22
22,00:05:35:07
23,00:05:50:17
24,00:06:10:09
25,00:06:20:23
26,00:06:35:27
27,00:06:42:15
28,00:06:47:02
29,00:06:55:21
30_31,00:07:01:26
32,00:07:21:08
33,00:07:41:11
34,00:07:47:17
35,00:07:59:27
36,00:08:06:01
37,00:08:20:14
38,00:08:30:12
39,00:08:35:00
40,00:08:42:22
41,00:08:54:00
42,00:09:03:00
43,00:09:14:09
44,00:09:18:25
45,00:09:26:18
46_47,00:09:40:11
48,00:09:59:13
49,00:10:17:25
50,00:10:33:18
51,00:10:48:19
52,00:11:10:11
53,00:11:13:23
54,00:11:27:03
55,00:11:33:09
56,00:11:38:27
57,00:11:43:25
