verse,time
1,00:00:17:30
2,00:01:01:53
3,00:01:32:44
4,00:01:52:26
5,00:02:12:01
6,00:02:19:15
7,00:02:45:59
8,00:03:03:07
9,00:03:21:55
10,00:03:48:31
11,00:04:03:55
12,00:04:37:01
13,00:04:55:51
14,00:05:09:04
