verse,time
1,00:00:15:42
2,00:00:40:39
3,00:00:59:34
4,00:01:41:02
5,00:01:52:28
6,00:02:18:16
7,00:02:26:18
8,00:02:51:02
9,00:03:29:38
10,00:04:02:44
11,00:04:25:33
12,00:04:35:27
13,00:05:03:04
14,00:05:23:46
15,00:05:48:39
