verse,time
1,00:00:16:18
2,00:00:24:25
3,00:00:40:15
4,00:00:53:25
5,00:01:11:29
6,00:01:53:23
8,00:02:27:07
9,00:02:41:29
10,00:02:52:16
11,00:03:01:13
12,00:03:08:25
13,00:03:23:10
14,00:03:57:08
15,00:04:24:05
16,00:04:54:11
17,00:05:28:02
18,00:05:45:20
19,00:06:16:11
20,00:06:35:03
21,00:06:46:06
22,00:06:54:17
23,00:07:07:14
24,00:07:49:12
25,00:08:08:26
26,00:08:37:03
27,00:08:54:15
28,00:09:18:26
29,00:09:32:09
30,00:10:21:02
31,00:10:36:15
32,00:10:42:07
33,00:10:55:24
34,00:11:23:18
35,00:11:53:15
36,00:12:50:08
37,00:13:11:21
38,00:13:49:00
39,00:13:57:00
