verse,time
1,00:00:23:49
2,00:00:41:25
3,00:01:06:40
4,00:01:40:26
5,00:02:01:58
6,00:02:09:46
7,00:02:26:29
8,00:02:42:39
9,00:03:00:56
10,00:03:22:49
11,00:03:49:56
12,00:04:07:13
13,00:04:23:22
14,00:04:53:49
15,00:05:15:21
16_17,00:05:29:25
