verse,time
1,00:00:17:58
2,00:00:33:38
3,00:00:51:35
4,00:00:59:27
5,00:01:09:29
6,00:01:28:31
7,00:01:54:36
8,00:02:07:27
9,00:02:19:25
10,00:02:42:54
11,00:03:10:19
12,00:03:28:20
13,00:03:55:59
14,00:04:06:19
15,00:04:38:21
16,00:04:57:50
17,00:05:05:34
18,00:05:15:00
19,00:05:27:41
20,00:05:41:36
21,00:05:59:39
22,00:06:22:05
23,00:06:59:00
24,00:07:29:29
25,00:07:45:12
26,00:08:01:19
27,00:08:08:55
28,00:08:34:33
29,00:08:44:52
30,00:08:59:09
31,00:09:06:50
32,00:09:14:37
33,00:09:22:17
34,00:09:31:10
35,00:09:45:08
36,00:10:16:39
37,00:10:50:34
38,00:11:05:42
39,00:11:34:54
40,00:11:52:43
41,00:12:11:26
42,00:12:24:17
43,00:13:01:10
44,00:13:13:11
45,00:13:26:36
46,00:13:44:41
47,00:14:13:28
48,00:14:36:52
49,00:14:48:57
50,00:15:01:07
51,00:15:13:40
52,00:15:24:17
53,00:15:37:38
54,00:15:59:14
