verse,time
1,00:00:21:10
2,00:00:38:03
3,00:00:47:51
4,00:01:25:01
5,00:01:43:06
6,00:02:04:37
7,00:02:51:40
8,00:03:11:50
9,00:03:42:30
10,00:04:19:04
11,00:04:31:56
12,00:04:51:01
13,00:05:19:18
14,00:05:39:14
15,00:06:14:37
16,00:06:53:06
17,00:07:02:06
18,00:07:25:24
19,00:07:55:11
20,00:08:09:01
21,00:08:26:08
22,00:08:49:17
23,00:09:07:53
