verse,time
1,00:00:22:35
2,00:00:47:17
3,00:01:04:11
4,00:01:23:06
5,00:01:47:15
6,00:02:00:50
7,00:02:21:02
8,00:02:33:23
9,00:02:44:16
10,00:02:47:44
11,00:03:54:40
12,00:04:01:34
13,00:04:17:50
14,00:04:37:15
15,00:04:49:09
16,00:05:01:21
17,00:05:19:51
18,00:05:34:39
19,00:05:52:19
20,00:06:02:06
21,00:06:10:05
22_23,00:06:35:21
24,00:07:12:53
25,00:07:16:21
26,00:07:37:54
27_28,00:08:01:23
29,00:08:37:17
30,00:08:48:39
31,00:08:58:36
32,00:09:41:43
33_34,00:09:51:51
35,00:10:21:14
36_37,00:10:48:07
38,00:11:07:26
39_41,00:11:20:07
42,00:12:00:38
43,00:12:26:09
44,00:12:34:12
45,00:12:40:52
46,00:13:14:12
47_48,00:13:27:05
