verse,time
1,00:00:15:19
2,00:00:35:42
3,00:00:47:35
4,00:00:58:22
5,00:01:18:18
6,00:01:33:59
7,00:01:43:42
8,00:02:16:56
9,00:02:38:29
10,00:02:50:35
11,00:02:57:12
12,00:03:05:13
13,00:03:27:47
14,00:03:39:47
15,00:03:45:02
16,00:04:00:21
17,00:04:14:54
18,00:04:29:58
19,00:04:44:01
20_21,00:04:59:25
22,00:05:35:49
23,00:05:51:56
24,00:06:11:54
25,00:06:17:40
26,00:06:44:33
27,00:07:18:52
28,00:07:28:16
29,00:07:58:36
30,00:08:03:55
31,00:08:12:51
32,00:08:22:01
33,00:08:37:21
34,00:08:48:22
35,00:09:04:13
36,00:09:15:56
37,00:09:27:40
38,00:09:41:47
39,00:09:53:31
40,00:10:11:44
41,00:10:33:45
42,00:10:50:58
43,00:10:59:41
44,00:11:19:13
45,00:11:32:01
46,00:11:51:54
47,00:12:28:12
48,00:13:03:01
49,00:13:08:11
50,00:13:22:52
51,00:13:37:55
52,00:13:55:28
53,00:14:22:31
54,00:14:32:12
55,00:14:51:22
56,00:15:21:29
57,00:15:26:45
58,00:15:43:14
