verse,time
1,00:00:32:36
2,00:00:35:37
3,00:00:43:39
4,00:00:47:37
5,00:00:59:33
6,00:01:11:46
7,00:01:24:55
8,00:01:35:36
9,00:01:45:29
10,00:01:57:55
11,00:02:16:25
12,00:02:28:36
13,00:02:36:52
14,00:02:43:05
15,00:02:48:48
16,00:02:52:13
17,00:02:59:16
18,00:03:09:11
19,00:03:18:00
20,00:03:23:20
21,00:03:27:28
22,00:03:34:37
23,00:03:44:49
24,00:04:05:18
25,00:04:17:13
26,00:04:24:02
27,00:04:27:34
28,00:04:33:41
29,00:04:44:42
30,00:04:55:57
31,00:05:07:10
32,00:05:27:08
33,00:05:32:03
34,00:05:41:48
35,00:05:48:01
36,00:06:10:07
37,00:06:19:12
38,00:06:29:46
39,00:06:36:37
40,00:06:43:08
