verse,time
1,00:00:37:47
2,00:00:59:53
3,00:01:38:54
4,00:01:52:21
5,00:02:11:46
6,00:02:26:52
7,00:02:40:18
8,00:02:48:37
9,00:03:08:08
10,00:03:23:57
11,00:03:42:55
12,00:04:07:37
13,00:04:23:31
14,00:04:45:56
15,00:05:09:35
16,00:05:35:16
17,00:05:56:12
18,00:06:43:16
19,00:07:01:46
20,00:07:18:08
21,00:07:38:53
22,00:08:19:46
23,00:09:08:46
24,00:09:19:40
25,00:09:51:24
26,00:10:35:07
27,00:10:59:17
28,00:11:40:25
29,00:12:04:38
30,00:12:35:48
31,00:13:05:24
32,00:13:59:57
33,00:14:17:04
34,00:14:31:23
35,00:15:01:13
36,00:15:23:46
37,00:15:51:00
38,00:16:28:14
39,00:16:52:19
40,00:17:32:56
41,00:18:14:03
42,00:18:38:23
43,00:18:56:44
