verse,time
1,00;00;24;18
2,00;00;40;09
3,00;00;58;26
4,00;01;12;23
5,00;01;22;04
6,00;01;37;09
7,00;02;04;05
8,00;02;16;14
9,00;02;24;06
10,00;02;46;05
11,00;03;05;17
12,00;03;20;20
13,00;03;41;27
