verse,time
1,00:00:22:15
2,00:00:41:28
3,00:01:07:09
4,00:01:38:21
5,00:01:51:12
6,00:02:01:25
7,00:02:06:05
8,00:02:17:21
9,00:02:35:20
10,00:03:01:19
11,00:03:07:26
12,00:03:31:16
13,00:03:43:10
14,00:03:55:28
15,00:04:15:02
16,00:04:41:14
17,00:05:01:19
18,00:05:19:12
19,00:05:27:21
20,00:05:41:04
21,00:05:46:24
22,00:05:55:05
23,00:06:28:12
24,00:06:36:26
25,00:06:47:10
26,00:06:59:18
27,00:07:12:03
28,00:07:21:14
29,00:07:44:01
30,00:08:08:10
31,00:08:23:19
32,00:08:37:13
33,00:08:48:23
34,00:09:07:01
35,00:09:18:10
36,00:09:35:12
37,00:09:42:12
38,00:09:55:24
