verse,time
1,00:00:20:14
2,00:00:28:04
3,00:01:07:21
4,00:01:25:12
5,00:01:44:15
6_8,00:02:11:16
9,00:02:56:29
10,00:03:11:25
11,00:03:29:16
12,00:03:47:29
13,00:04:03:05
14,00:04:30:16
15,00:05:06:20
16,00:05:36:17
17,00:05:54:09
18,00:06:29:29
19,00:06:56:23
20,00:07:11:24
21,00:07:43:05
22,00:07:59:11
23,00:08:15:23
24,00:08:39:18
25,00:09:04:14
26,00:09:18:26
27,00:09:40:17
28,00:09:55:21
29,00:10:04:17
30,00:10:28:29
31,00:10:45:25
32,00:10:55:28
33,00:11:15:10
34,00:11:40:09
35,00:12:04:25
36,00:12:41:26
37,00:13:01:03
38,00:13:21:11
39,00:13:37:18
40_43,00:14:17:05
