verse,time
1,00:00:15:12
2,00:00:30:20
3,00:01:08:09
4,00:01:43:18
5,00:02:06:29
6,00:02:19:18
7,00:03:02:19
8,00:03:34:25
9,00:03:59:06
10,00:04:10:05
11,00:04:27:18
12,00:04:55:19
13,00:05:16:29
14,00:05:56:10
15,00:06:21:22
16,00:06:39:28
17,00:07:17:26
18,00:07:45:10
19,00:07:57:13
20,00:08:17:20
21,00:08:47:15
22,00:09:15:23
23,00:09:42:03
24,00:09:53:29
25,00:10:13:17
26,00:10:31:23
27,00:10:44:29
28,00:10:53:29
29,00:11:13:20
30,00:11:51:14
31,00:12:10:02
32,00:12:44:08
33,00:13:01:19
34,00:13:26:27
35_36,00:14:00:03
37,00:14:41:24
38,00:15:16:15
39,00:15:46:08
40,00:16:03:27
41,00:16:21:06
42,00:16:48:06
43,00:16:54:10
44,00:17:09:21
45,00:17:33:01
46,00:17:58:05
47,00:18:10:16
48,00:18:25:10
49,00:19:07:17
50,00:19:14:29
51,00:19:28:06
52,00:19:44:14
53,00:20:19:19
54,00:20:41:20
55,00:20:51:16
56,00:21:28:27
