verse,time
1,00:00:16:18
2,00:00:21:17
3,00:00:28:02
4_6,00:00:39:16
7,00:00:57:08
8,00:01:09:15
9,00:01:21:08
10,00:01:35:01
11,00:01:49:04
12,00:01:58:15
13,00:02:10:10
14,00:02:28:25
15,00:02:33:22
16,00:02:36:14
17,00:02:47:27
18,00:02:56:23
19,00:03:05:08
20,00:03:19:06
21,00:03:29:22
22,00:03:36:05
23,00:03:44:14
24,00:03:51:08
25,00:04:09:12
26_27,00:04:26:18
28,00:05:04:21
29,00:05:22:16
30,00:05:34:18
31,00:05:41:20
32,00:05:54:10
33,00:06:23:16
34,00:06:34:23
35,00:06:50:12
36,00:07:07:12
37,00:07:29:25
38,00:07:39:18
39,00:07:54:05
40,00:08:11:08
41,00:08:39:21
42,00:08:45:03
43,00:08:59:18
44,00:09:06:01
45,00:09:18:08
46,00:09:32:03
47,00:09:44:12
