verse,time
1,00:00:17:30
2,00:00:48:28
3,00:01:03:22
4,00:01:39:20
5,00:01:56:02
6,00:02:10:22
7,00:02:42:41
8,00:03:00:28
9,00:03:20:13
10,00:03:28:35
11,00:03:37:43
12,00:04:56:00
13,00:05:06:12
14,00:05:21:50
15,00:05:37:42
16,00:05:54:44
17,00:06:15:45
18,00:06:38:28
19,00:06:50:14
