verse,text
1,"The LORD is King. The LORD wears majesty and strength like clothes. He is ready, so the whole world is safe. It will not be shaken."
2,Your kingdom has continued forever. You have lived forever!
3,"LORD, the ocean roars. The mighty ocean sounds like thunder as the waves crash on the shore."
4,"The crashing waves of the sea are loud and powerful, but the LORD above is even more powerful."
5,"LORD, your laws will continue forever. Your holy Temple will stand for a long time."
