verse,text
1,"A song of praise. Sing a new song to the LORD, because he has done amazing things! His powerful and holy right arm has brought him another victory."
2,The LORD showed the nations his power to save. He showed them his goodness.
3,He has kept his promise of love and loyalty to the people of Israel. People everywhere have seen our God’s power to save.
4,"Everyone on earth, shout with joy to the LORD. Start singing happy songs of praise!"
5,"Praise the LORD with harps. Yes, praise him with music from the harps."
6,"Blow the pipes and horns, and shout for joy to the LORD our King!"
7,"Let the sea and everything in it, the earth and all who live in it shout his praise!"
8,"Rivers, clap your hands! All together now, mountains sing out!"
9,Sing before the LORD because he is coming to judge the world. He will rule the world fairly. He will rule the people with goodness.
