verse,text
1,Praise the LORD! I thank the LORD with all my heart in the assembly of his good people.
2,"The LORD does wonderful things, more than anyone could ask for."
3,The things he does are great and glorious! There is no end to his goodness.
4,He does amazing things so that we will remember that the LORD is kind and merciful.
5,He gives food to his followers. He remembers his agreement forever.
6,He has shown his people how powerful he is by giving them the land of other nations.
7,Everything he does is good and fair. All his commands can be trusted.
8,His commands will continue forever. They must be done with truth and honesty.
9,He rescued his people and made his agreement with them forever. His name is awesome and holy.
10,Wisdom begins with fear and respect for the LORD. Those who obey him are very wise. Praises will be sung to him forever.
