verse,text
1,"The LORD is King, so let the nations shake with fear. He sits as King above the Cherub angels, so let the whole earth shake."
2,The LORD in Zion is great! He is the great leader over all people.
3,Let all the nations praise your name. Your name is great and awesome. Your name is holy.
4,You are the powerful King who loves justice. You have made things right. You have brought goodness and fairness to Jacob.
5,"Praise the LORD our God, and bow down before his footstool, for he is holy."
6,"Moses and Aaron were some of his priests, and Samuel was one of the men who called on his name. They prayed to the LORD, and he answered them."
7,"God spoke from the tall cloud, and they obeyed his commands and the law he gave them."
8,"LORD our God, you answered their prayers. You showed them that you are a forgiving God and that you punish people for the evil they do."
9,Praise the LORD our God. Bow down toward his holy mountain and worship him. The LORD our God is holy!
