verse,text
1,"A song of David. Praise the LORD, you heavenly angels! Praise the LORD’S glory and power."
2,Praise the LORD and honor his name! Worship the LORD in all his holy beauty.
3,The LORD’S voice can be heard over the sea. The voice of our glorious LORD God is like thunder over the great ocean.
4,The LORD’S voice is powerful. It shows the LORD’S glory.
5,The LORD’S voice shatters great cedar trees. The LORD breaks the great cedars of Lebanon.
6,He makes Lebanon shake like a young calf dancing. Sirion trembles like a young bull jumping up and down.
7,The LORD’S voice cuts the air with flashes of lightning.
8,The LORD’S voice shakes the desert. The desert of Kadesh trembles at the LORD’S voice.
9,"The LORD’S voice frightens the deer. He destroys the forests. In his temple everyone shouts, “Glory to God!”"
10,"The LORD ruled as king at the time of the flood, and the LORD will rule as king forever."
11,May the LORD make his people strong. May the LORD bless his people with peace.
