verse,time
1,00:00:17:48
2,00:00:42:27
3,00:00:53:52
4,00:01:12:52
5,00:01:18:19
6,00:01:31:32
7,00:01:45:01
8,00:02:01:23
9,00:02:21:48
10,00:02:32:49
11,00:02:57:48
12,00:03:21:41
13,00:03:42:19
14,00:04:08:55
15,00:04:19:51
16,00:04:26:36
17,00:04:35:43
18_20,00:04:44:24
21,00:04:53:50
22,00:05:11:59
23,00:05:21:15
24,00:05:31:49
25,00:05:41:44
26,00:05:48:02
27,00:06:00:58
28,00:06:14:03
29,00:06:24:54
30,00:06:35:27
31,00:06:43:10
32,00:07:12:25
33,00:07:27:21
34,00:07:39:50
35,00:07:56:38
36,00:08:06:38
37,00:08:13:58
38,00:08:21:48
39,00:08:39:18
40,00:08:54:52
41,00:09:13:03
42,00:09:24:28
43,00:09:31:11
