verse,time
1_3,00:00:32:07
4,00:01:45:37
5,00:02:02:00
6,00:02:26:44
7,00:02:39:02
8,00:03:11:54
9,00:03:20:46
10,00:03:49:18
11,00:04:06:12
12,00:04:23:11
13,00:04:58:16
14,00:05:33:24
15,00:05:53:22
16,00:06:13:58
17,00:06:26:20
18,00:06:35:34
19,00:06:52:46
20,00:07:06:41
21,00:07:37:19
22,00:08:00:25
23,00:08:17:22
24,00:08:34:52
25,00:08:50:17
26,00:09:34:58
27,00:09:51:55
28,00:10:33:30
29,00:10:58:32
30,00:11:07:58
31,00:11:27:10
32,00:11:44:12
33,00:12:15:03
34,00:12:47:37
35,00:13:00:08
36,00:13:18:47
37_38,00:13:36:53
39,00:13:49:48
40,00:14:18:26
