verse,time
1,00:00:15:28
2,00:00:29:41
3,00:00:46:29
4,00:01:09:34
5,00:01:31:32
6,00:01:59:37
7,00:02:24:57
8,00:02:59:41
9,00:03:21:58
10,00:03:44:48
11,00:03:55:52
12,00:04:07:08
13,00:04:18:53
14,00:04:41:30
15,00:04:53:59
16,00:05:31:25
17,00:05:49:50
18,00:06:06:17
19,00:06:38:07
20,00:06:52:34
21,00:07:04:37
22,00:07:33:37
23_24,00:07:41:19
25,00:08:07:57
26,00:08:46:35
27,00:09:02:06
28,00:09:29:16
29,00:10:08:22
30,00:10:25:29
31,00:10:41:25
32,00:11:13:35
33,00:11:26:52
34,00:11:45:50
35,00:12:10:46
36,00:12:27:13
37,00:12:48:04
38,00:13:02:15
39,00:13:22:08
40,00:13:36:54
41,00:14:02:21
42,00:14:23:37
43,00:14:32:40
44,00:15:02:28
45,00:15:10:26
46,00:15:33:48
47,00:16:02:16
48,00:16:11:18
49,00:16:29:23
50,00:17:19:24
51,00:17:29:09
52,00:17:47:47
53,00:17:57:07
54,00:18:13:18
55,00:18:39:23
56,00:18:49:21
57,00:19:06:56
