verse,time
1,00:00:31:21
2,00:00:53:32
3,00:01:13:30
4,00:01:43:14
5,00:02:13:35
6,00:02:31:26
7,00:02:54:07
8,00:03:18:14
9,00:03:27:05
10,00:03:49:36
11,00:04:23:29
12,00:04:55:37
13,00:05:14:44
14,00:05:52:25
15,00:06:34:59
16,00:07:22:05
17,00:08:01:57
18,00:08:25:21
19,00:09:00:50
20,00:09:23:45
21,00:09:35:28
22,00:09:54:40
23,00:10:21:36
24,00:10:38:15
25,00:11:07:46
26,00:11:36:43
27,00:11:57:28
28,00:12:20:46
29,00:12:35:30
30,00:12:51:29
31,00:13:11:53
32,00:13:31:28
33,00:13:43:53
34,00:14:20:04
35,00:14:54:58
36,00:15:19:52
37,00:15:42:03
38,00:16:29:46
39,00:16:50:43
40,00:17:08:18
