verse,time
1,00:00:19:27
2,00:00:51:21
3,00:01:40:20
4,00:01:51:00
5,00:02:09:28
6,00:02:51:16
7,00:03:12:16
8,00:03:35:16
9,00:03:50:25
10,00:04:09:23
11,00:04:24:03
12,00:04:31:14
13,00:04:41:22
14,00:04:57:02
15,00:05:13:24
16,00:05:39:18
17,00:06:15:00
18,00:06:28:00
19,00:06:55:08
20,00:07:32:27
21,00:07:56:01
22,00:08:05:14
23,00:08:18:14
24,00:08:35:12
25,00:09:17:22
26,00:09:46:11
27,00:10:17:28
28,00:10:31:02
29,00:11:10:01
30,00:11:25:12
31,00:11:59:27
32,00:12:12:22
33,00:12:32:19
34,00:12:47:15
