verse,time
1,00:00:25:23
2,00:02:16:34
3,00:02:49:57
4,00:03:18:16
5,00:03:49:37
6,00:04:19:11
7,00:04:29:56
8,00:05:05:44
9,00:05:48:07
10,00:06:15:33
11,00:06:22:04
12,00:06:40:24
13,00:06:51:54
14,00:07:06:35
15,00:07:30:11
16,00:07:45:23
17,00:08:33:09
18,00:08:58:25
19,00:09:13:43
20,00:09:29:19
21,00:09:51:11
22,00:10:15:43
23,00:10:45:32
24,00:11:05:24
25,00:11:36:18
26,00:12:05:32
27,00:12:36:42
28,00:13:09:52
29,00:13:36:44
30,00:14:03:06
31,00:14:29:22
32,00:14:55:20
33,00:15:17:58
34,00:15:43:51
35,00:16:06:41
36,00:16:34:18
37,00:16:58:34
38,00:17:31:24
