verse,time
1,00:00:21:32
2,00:00:38:12
3_4,00:00:48:44
5,00:01:16:04
6,00:01:24:01
7,00:01:36:20
8,00:01:46:52
9,00:02:09:51
10,00:02:15:34
11,00:02:26:39
12,00:02:30:47
13,00:02:35:33
14_15,00:02:46:21
16,00:03:00:41
17,00:03:10:13
18,00:03:18:00
19,00:03:27:22
20,00:03:44:17
21,00:03:54:16
22,00:03:59:07
23,00:04:06:48
24,00:04:11:44
25,00:04:20:17
26,00:04:25:49
27,00:04:33:28
28_29,00:04:38:00
30,00:04:46:07
31,00:04:55:03
32,00:04:59:57
33,00:05:04:39
34,00:05:13:54
35,00:05:34:49
36,00:05:53:07
37,00:06:13:43
38,00:06:29:51
