verse,time
1,00:00:22:12
2,00:00:56:26
3,00:01:12:06
4,00:01:25:18
5,00:01:33:23
6,00:02:00:02
7,00:02:20:17
8,00:02:35:02
9,00:02:57:11
10,00:03:12:04
11,00:03:27:16
12,00:03:31:25
13,00:03:48:01
14,00:04:04:23
15,00:04:12:09
16,00:04:20:08
17,00:04:44:06
18,00:05:00:11
19,00:05:17:18
20,00:05:51:13
21,00:06:09:19
22,00:06:28:20
23,00:06:45:03
24,00:07:07:25
25,00:07:17:12
26,00:07:45:01
27,00:07:53:17
28,00:08:01:11
29,00:08:32:18
30,00:08:48:23
31,00:09:07:00
32,00:09:21:08
33,00:09:30:10
34,00:09:36:05
