verse,time
1,00:00:14:23
2,00:00:54:11
3,00:01:06:07
4,00:01:18:14
5,00:01:29:10
6,00:01:53:16
7,00:02:13:01
8,00:02:33:28
9,00:02:48:22
10,00:02:56:27
11,00:03:07:11
12,00:03:27:04
13,00:03:38:28
14,00:03:45:21
15,00:04:08:17
16,00:04:42:13
17,00:05:11:09
18,00:05:31:13
19,00:05:43:20
20,00:06:04:07
21,00:06:45:15
22,00:07:18:08
23,00:07:29:17
24,00:07:42:10
25,00:08:22:28
26,00:08:36:08
27_28,00:08:49:17
29,00:09:24:02
30,00:09:48:18
31,00:09:58:03
32,00:10:21:25
33,00:11:06:17
34,00:11:23:18
35,00:11:53:02
36,00:12:08:00
37,00:12:46:12
38,00:12:53:20
39,00:13:04:12
40,00:13:21:04
41,00:13:42:09
42,00:14:25:28
43,00:14:39:01
44,00:15:15:28
45,00:15:31:24
46,00:15:45:04
47,00:16:18:15
