verse,time
1,00:00:26:49
2,00:01:04:35
3,00:01:38:55
4,00:02:08:45
5,00:02:40:23
6,00:03:06:22
7,00:03:36:01
8,00:04:03:50
9,00:04:26:22
10,00:04:39:31
11,00:05:14:20
12,00:05:48:37
13,00:06:05:33
14,00:06:33:20
15,00:06:57:16
16,00:07:33:35
17,00:07:53:08
18,00:08:19:53
19,00:08:38:33
20,00:08:53:59
21,00:09:29:30
22,00:10:04:29
23,00:10:52:57
24,00:11:22:28
25,00:11:58:17
26,00:12:43:55
27,00:13:22:40
28,00:14:16:46
29,00:14:31:32
30,00:15:24:43
31,00:15:36:04
32,00:16:24:31
33,00:16:37:08
34,00:17:25:22
35,00:17:55:57
36,00:18:14:00
37,00:18:36:55
38_39,00:18:54:33
40,00:19:44:11
41,00:19:59:08
42,00:20:46:25
43,00:21:08:33
44,00:21:57:35
45,00:22:18:27
46,00:22:40:01
47,00:23:32:08
48,00:24:07:01
49,00:24:40:50
50,00:24:53:41
51,00:25:33:33
52,00:26:01:08
