verse,time
1,00:00:16:24
2,00:00:26:07
3,00:00:49:00
4_5,00:01:12:10
6,00:02:35:23
7,00:03:05:24
8,00:03:23:21
9,00:03:56:17
10,00:04:25:29
11,00:04:42:09
12_13,00:05:09:13
14_15,00:05:55:03
16,00:06:50:28
17,00:07:20:15
18,00:07:34:18
19,00:07:51:23
20,00:08:22:08
21,00:09:01:28
22,00:09:18:12
23,00:09:34:17
24,00:09:49:19
25,00:10:07:01
26,00:10:11:29
27,00:10:27:25
28,00:10:50:27
29,00:11:21:19
30,00:11:36:23
31,00:11:55:18
32,00:12:19:25
33,00:12:45:17
34,00:12:51:01
35,00:13:37:29
36,00:13:56:29
37,00:14:07:18
38,00:14:14:23
39,00:14:33:22
40,00:15:15:00
41,00:15:34:24
42,00:15:42:17
43,00:15:51:03
44,00:15:56:02
45,00:16:28:16
