verse,time
1,00:00:28:06
2,00:00:53:03
3,00:01:06:14
4,00:01:26:07
5,00:01:47:25
6,00:02:25:15
7,00:02:55:14
8_9,00:03:25:19
10,00:03:51:24
11,00:04:35:07
12,00:05:12:18
13,00:05:44:02
14,00:05:58:19
15,00:06:28:22
16,00:06:51:25
17,00:07:21:19
18,00:08:20:19
19,00:08:48:02
20,00:09:16:22
21,00:09:43:03
22,00:10:07:11
23,00:10:23:06
24,00:10:41:15
25,00:11:09:10
26,00:11:32:15
27,00:12:12:28
28,00:12:39:26
29,00:12:52:04
30,00:13:14:06
31,00:13:44:08
32,00:14:01:00
33,00:14:31:05
34,00:14:59:18
35,00:15:16:27
36,00:15:33:11
37,00:16:00:10
38,00:16:29:00
39,00:16:41:04
