verse,time
1,00:00:20:06
2,00:00:29:25
3,00:01:02:29
4,00:01:24:04
5,00:01:40:19
6,00:01:56:09
7,00:01:59:23
8,00:02:18:06
9,00:02:31:27
10,00:02:51:04
11,00:03:09:03
12,00:03:23:11
13,00:03:38:21
14,00:03:49:27
15,00:04:09:27
16,00:04:21:09
17,00:04:33:12
18,00:05:03:16
19,00:05:15:16
20,00:05:20:18
21,00:05:47:13
22,00:06:01:16
23,00:06:15:13
24,00:06:23:04
25,00:06:30:24
26,00:07:15:06
27,00:07:27:02
28,00:07:41:01
29,00:08:06:18
30,00:08:18:20
31,00:08:26:09
32,00:08:34:15
33,00:08:41:11
34,00:08:52:20
35,00:09:03:29
36,00:09:25:29
