verse,time
1,00:00:23:45
2,00:00:31:06
3,00:00:35:33
4,00:00:47:51
5,00:00:59:11
6,00:01:07:34
7,00:01:23:57
8,00:01:37:44
9,00:01:52:33
10,00:02:10:50
11,00:02:20:24
12,00:02:40:31
13,00:03:06:54
14,00:03:22:51
15,00:03:39:29
16,00:04:06:34
17,00:04:25:50
18,00:04:44:02
19,00:04:54:29
20,00:05:08:34
21,00:05:24:10
22,00:05:37:15
23,00:05:59:31
24,00:06:18:53
25,00:06:25:47
26,00:06:34:21
27,00:06:38:09
28,00:07:03:37
29,00:07:12:51
30,00:07:34:18
31,00:07:51:23
32,00:08:08:01
33,00:08:18:04
34,00:08:27:34
35,00:08:37:32
36,00:08:48:06
37,00:09:01:52
38,00:09:24:30
39,00:09:33:24
40,00:09:44:01
41,00:09:50:51
42,00:09:59:54
43,00:10:18:15
44_45,00:10:31:40
46,00:10:45:19
47,00:10:56:19
48,00:11:01:36
49,00:11:15:01
50,00:11:20:46
51,00:11:28:09
