verse,time
1,00:00:28:00
2,00:00:56:40
3,00:01:36:20
4,00:01:53:54
5,00:02:12:36
6,00:02:29:34
7,00:02:49:28
8,00:03:04:11
9,00:03:18:39
10,00:03:38:12
11,00:03:47:18
12,00:04:04:45
13,00:04:22:13
14,00:04:55:26
15,00:05:41:30
16,00:05:54:24
17,00:06:03:40
18,00:06:27:09
19,00:06:51:49
20,00:07:06:50
21,00:07:24:18
22,00:07:47:03
23,00:08:09:29
24,00:08:26:50
25,00:08:52:11
26,00:08:59:14
27,00:09:20:18
28,00:09:43:23
29,00:09:58:07
30,00:10:41:57
31,00:11:06:01
32,00:11:51:30
33,00:12:07:33
34,00:13:01:31
35,00:13:14:49
