verse,time
1,00:00:22:00
2,00:00:57:44
3,00:01:17:37
4,00:01:46:12
5,00:02:09:42
6,00:02:38:11
7,00:02:51:41
8,00:03:03:32
9,00:03:31:19
10,00:03:55:17
11,00:04:24:24
12,00:04:38:45
13,00:04:58:38
14,00:05:08:00
15,00:05:22:00
16,00:05:37:00
17,00:06:10:00
18,00:06:40:21
19,00:06:58:00
20,00:07:41:25
21,00:08:01:20
