verse,time
1,00:00:18:45
2,00:00:44:56
3,00:00:52:16
4,00:01:14:30
5,00:01:36:42
6,00:02:08:09
7,00:02:17:39
8,00:02:42:02
9,00:03:17:04
10,00:03:35:32
11,00:03:59:11
12,00:04:23:00
13,00:04:38:06
14,00:05:04:42
15,00:05:17:06
16,00:05:26:45
17,00:05:50:39
18,00:06:18:54
19,00:06:56:45
20,00:07:12:59
21,00:07:43:57
22,00:08:04:07
23,00:08:18:14
24,00:08:44:01
25,00:09:03:57
26,00:09:15:18
27,00:09:30:57
28,00:09:43:42
29,00:09:56:22
30,00:10:16:55
31,00:10:32:33
32,00:10:45:32
33,00:11:00:00
34,00:11:10:39
35,00:11:29:34
36,00:11:45:24
37,00:11:59:53
38,00:12:22:55
39,00:12:32:12
