verse,time
1,00:00:18:23
2,00:00:43:00
3,00:01:17:15
4,00:01:44:15
5,00:02:01:29
6,00:02:23:15
7,00:02:44:26
8,00:03:17:13
9,00:03:46:00
10,00:03:57:22
11,00:04:13:04
12,00:04:32:08
13,00:04:51:16
