verse,time
1,00:00:16:56
2,00:00:51:57
3,00:01:07:10
4,00:01:34:22
5,00:01:58:53
6,00:02:12:10
7,00:02:23:50
8,00:02:38:00
9,00:02:56:56
10,00:03:17:20
11,00:03:43:46
12,00:03:55:41
13,00:04:24:27
14_15,00:04:32:47
16,00:05:02:13
17,00:05:29:47
18,00:05:50:48
19,00:06:17:17
20,00:06:24:01
21,00:06:34:06
22,00:06:59:43
23,00:07:09:34
24,00:07:19:30
25,00:07:27:38
26,00:07:43:30
27,00:07:49:03
28,00:07:54:25
29,00:08:07:38
30,00:08:26:39
31,00:08:33:52
32,00:08:39:37
33,00:08:56:29
34,00:09:12:20
35,00:09:24:58
36,00:09:31:56
37,00:09:54:47
38,00:10:05:59
39,00:10:43:05
40,00:10:49:44
41,00:11:00:23
42,00:11:15:25
