verse,time
1,00:00:39:39
2,00:01:00:07
3,00:01:22:06
4,00:01:50:28
5_6,00:02:27:03
7,00:03:08:19
8,00:03:21:35
9,00:03:39:19
10,00:04:13:48
11,00:04:37:37
12,00:04:52:42
13,00:05:32:40
14,00:05:53:25
15,00:06:12:24
16,00:06:55:41
17,00:07:25:18
18,00:07:42:31
19,00:07:58:28
20,00:08:23:48
21,00:08:40:53
22,00:09:42:34
23,00:09:55:14
24,00:10:10:33
25,00:10:29:52
26,00:10:47:48
27,00:11:10:04
28,00:11:16:54
29,00:11:43:29
30,00:11:59:14
31,00:12:20:55
32,00:12:44:51
33,00:13:18:45
34,00:13:31:22
35,00:13:54:50
36,00:14:07:51
37,00:14:36:51
38,00:15:04:28
39,00:15:27:30
40,00:16:03:39
41,00:16:32:40
42,00:17:01:09
