verse,time
1,00:00:16:51
2,00:00:32:29
3,00:00:51:29
4,00:01:16:32
5,00:01:26:11
6,00:01:42:01
7,00:01:56:47
8,00:02:11:07
9,00:02:23:00
10,00:02:39:35
11,00:02:45:38
12,00:03:08:01
13,00:03:20:59
14,00:03:48:29
15,00:04:02:18
16,00:04:21:37
17,00:04:47:03
18,00:05:05:26
19,00:05:10:59
20,00:05:20:22
21,00:05:31:07
22,00:05:41:10
23,00:05:54:52
24,00:06:05:19
25,00:06:28:28
26,00:06:48:24
27,00:07:21:59
28,00:07:52:16
29,00:08:07:08
30,00:08:17:19
31,00:08:25:42
32,00:08:42:21
33,00:08:58:43
34,00:09:08:45
35,00:09:31:39
36,00:09:56:34
37,00:10:27:23
38,00:10:40:55
39,00:11:00:22
40,00:11:06:56
41,00:11:46:37
42,00:11:57:30
43,00:12:18:52
44,00:12:40:34
45,00:12:57:00
46,00:13:03:19
47,00:13:23:21
48,00:13:45:27
49,00:14:07:56
50,00:14:30:09
