verse,time
1,00:00:19:13
2,00:00:43:07
3,00:00:58:09
4,00:01:12:15
5,00:01:26:23
6,00:01:51:15
7,00:01:56:19
8,00:02:19:21
9,00:02:42:26
10,00:03:12:00
11,00:03:27:02
12,00:03:55:23
13,00:04:32:04
14,00:04:53:14
15,00:05:06:05
16,00:05:27:29
17,00:05:59:03
18,00:06:19:22
19,00:06:31:23
20,00:06:59:03
21,00:07:12:22
22,00:07:43:22
23,00:08:02:05
24,00:08:32:07
25,00:08:44:15
26,00:09:24:08
27,00:09:42:10
28,00:10:02:09
29,00:10:27:23
30,00:10:37:07
31,00:10:58:01
32,00:11:25:17
33,00:12:05:02
34,00:13:00:00
35,00:13:11:16
36,00:13:32:25
37,00:13:46:25
38,00:13:58:03
39,00:14:24:28
40,00:14:37:14
41,00:14:42:12
42,00:15:13:24
43,00:15:45:05
44,00:16:08:16
45,00:16:24:03
46,00:16:35:05
