verse,time
1,00:00:18:11
2,00:00:58:15
3,00:01:28:21
4,00:01:59:15
5,00:02:23:40
6,00:02:41:18
7,00:02:53:05
8,00:03:35:32
9,00:03:48:30
10,00:04:08:21
