verse,time
1,00:00:28:00
2,00:00:41:04
3,00:01:01:04
4,00:01:15:01
5,00:01:31:07
6,00:01:39:19
7,00:02:09:18
8,00:02:23:08
9,00:02:34:15
10,00:02:48:03
11,00:03:04:27
12,00:03:20:19
13,00:03:33:02
14,00:03:56:01
15,00:04:09:26
16,00:04:24:28
17,00:04:42:12
18,00:04:56:10
19,00:05:14:06
20,00:05:39:05
21,00:06:03:19
22,00:06:15:29
23,00:06:41:01
24,00:07:08:19
25,00:07:22:05
26,00:07:38:22
27,00:07:57:01
28,00:08:33:16
29,00:08:39:11
30,00:08:52:29
31,00:09:39:14
32,00:09:57:07
33,00:10:14:15
34,00:10:26:14
35,00:10:51:08
36,00:11:18:28
37,00:11:41:21
38,00:12:15:03
39_40,00:12:38:00
41,00:13:08:26
42,00:13:18:04
43,00:13:36:13
44,00:13:45:27
45,00:14:04:12
46,00:14:17:07
47,00:14:47:11
48,00:15:08:00
49,00:15:24:00
50,00:15:37:08
51,00:15:50:14
52,00:16:03:17
53,00:16:25:04
54,00:16:51:12
55,00:17:16:28
56,00:17:28:00
57,00:17:43:13
58,00:17:52:20
59,00:18:06:08
60,00:18:18:03
61,00:18:29:10
62,00:18:47:20
63,00:19:05:26
64,00:19:17:18
65,00:19:35:25
66,00:19:49:05
67,00:20:06:27
68,00:20:24:12
69,00:20:29:12
70,00:20:44:02
71,00:20:55:24
