verse,time
1,00:00:22:55
2,00:00:30:56
3,00:01:10:35
4,00:01:30:06
5,00:01:41:40
6,00:01:50:07
7,00:02:12:03
8,00:02:37:39
9,00:03:09:54
10,00:03:22:30
11,00:03:33:16
12,00:03:54:04
13,00:04:10:20
14,00:04:26:55
15,00:04:30:54
16,00:04:55:56
