verse,time
1,00:00:16:23
2,00:00:37:11
3,00:00:57:19
4,00:01:22:26
5,00:01:31:15
6,00:01:46:23
7,00:02:06:11
8,00:02:14:12
9,00:02:25:25
10,00:02:44:20
11,00:02:57:06
12,00:03:11:03
13,00:03:45:10
14,00:04:18:26
15,00:04:40:16
16,00:05:04:28
17,00:05:13:21
18,00:05:20:22
19,00:05:28:20
20,00:05:59:21
21,00:06:16:17
22,00:06:39:01
23,00:07:10:22
24,00:07:25:00
25,00:07:53:19
26,00:08:07:01
27,00:08:22:09
28,00:08:30:18
29,00:08:42:02
30,00:08:51:09
31,00:09:07:06
32,00:09:18:11
33,00:09:26:21
34,00:09:41:04
35,00:09:53:21
36,00:10:15:01
