verse,time
1,00:00:23:44
2,00:00:58:41
3,00:01:16:02
4,00:01:51:58
5,00:02:26:44
6,00:02:52:46
7,00:03:14:23
8,00:03:30:58
9,00:03:48:19
10,00:04:08:38
11,00:04:34:16
