verse,time
1,00:00:33:00
2,00:01:03:41
3,00:01:17:55
4,00:01:45:06
5,00:02:31:08
6,00:02:47:22
7,00:03:11:46
8,00:03:34:53
9,00:03:49:41
10,00:04:50:01
11,00:05:13:14
12,00:05:39:52
13,00:05:58:59
14,00:06:26:15
15,00:06:35:44
16,00:07:07:45
17,00:07:31:03
18,00:07:47:03
19,00:08:05:00
20,00:08:32:15
21,00:08:54:32
22,00:09:31:55
23,00:09:47:59
24,00:09:54:55
25,00:10:19:47
26,00:10:42:37
27,00:11:01:30
28,00:11:14:43
29,00:12:05:05
30,00:12:28:03
31,00:12:46:00
32,00:13:15:05
33,00:13:38:41
34,00:13:46:49
35,00:13:59:19
36,00:14:32:27
37_38,00:14:44:02
