verse,time
1,00:00:20:05
2,00:00:24:39
3,00:00:51:06
4,00:00:57:14
5,00:01:10:18
6,00:01:14:46
7,00:01:23:23
8,00:01:43:45
9,00:01:58:00
10,00:02:16:25
11,00:02:34:33
12,00:02:54:38
13,00:03:03:37
14,00:03:28:08
15,00:03:41:19
16,00:04:03:19
17,00:04:25:18
18,00:04:44:44
19,00:04:59:04
20_21,00:05:09:50
22,00:05:43:26
23,00:06:02:03
24,00:06:13:14
25,00:06:28:13
26,00:06:49:58
27,00:07:13:49
28,00:07:26:01
29,00:07:40:32
30,00:07:55:04
31,00:08:22:11
32,00:08:44:49
33,00:08:50:40
34,00:08:58:28
35,00:09:08:13
36,00:09:23:36
