verse,time
1,00:00:16:29
2,00:00:40:08
3,00:01:04:23
4,00:01:29:13
5,00:01:45:04
6,00:01:57:21
7,00:02:16:23
8,00:02:50:01
9,00:03:53:11
10,00:04:35:03
11,00:04:50:24
12,00:05:22:12
13,00:06:01:11
14,00:06:31:05
15,00:07:20:02
16,00:07:45:29
17,00:08:06:04
18,00:08:19:19
19,00:08:28:15
20,00:08:54:02
21,00:09:25:28
22,00:09:43:07
23,00:10:09:26
24,00:10:40:27
25,00:11:11:00
26,00:11:36:12
27,00:11:54:24
28,00:12:16:21
29,00:12:46:11
30,00:13:05:02
31,00:13:26:26
32,00:13:46:21
33,00:14:18:04
34,00:14:32:27
35,00:15:08:29
36,00:15:37:02
37,00:15:50:22
