verse,time
1,00:00:23:13
2,00:00:44:13
3,00:00:54:26
4,00:01:07:28
5,00:01:24:27
6,00:01:41:13
7,00:01:47:22
8,00:02:18:21
9,00:02:34:05
10,00:02:55:28
11,00:03:11:06
12,00:03:41:13
13,00:03:59:03
14,00:04:25:24
15,00:04:47:10
16,00:05:05:16
17,00:05:22:15
18,00:05:30:21
19,00:05:55:22
20,00:06:07:10
21,00:06:25:01
22,00:06:42:03
23,00:07:09:17
24,00:07:18:00
25,00:07:39:16
26,00:08:00:24
27,00:08:31:09
28,00:08:39:02
29,00:08:52:05
30,00:09:17:25
31,00:09:30:04
32 ,00:09:47:22
33,00:09:57:06
34,00:10:19:17
35,00:10:46:08
