verse,time
1,00:00:17:38
2,00:00:30:43
3,00:00:42:03
4,00:01:01:54
5,00:01:14:15
6,00:01:29:42
7,00:01:42:08
8,00:01:54:58
9,00:02:06:02
10,00:02:18:30
11,00:02:35:29
12,00:02:52:41
13,00:03:09:10
14,00:03:19:20
15,00:03:31:47
16,00:03:40:40
17,00:04:08:55
18,00:04:29:42
19,00:04:40:51
20,00:04:51:37
21,00:05:01:00
22,00:05:12:22
23,00:05:41:23
24,00:06:01:40
25,00:06:19:57
26,00:06:48:59
27,00:07:17:55
28,00:07:40:13
29,00:07:46:49
30,00:08:04:07
31,00:08:14:39
32,00:08:25:33
33,00:08:41:03
34,00:08:53:54
