verse,time
1,00:00:19:45
2,00:00:23:25
3,00:00:37:14
4,00:00:59:09
5,00:01:09:04
6,00:01:15:58
7,00:01:27:36
8,00:01:50:55
9,00:02:00:06
10,00:02:08:48
11_12,00:02:19:33
13,00:02:51:44
14,00:03:08:37
15,00:03:20:39
16,00:03:28:33
17,00:03:36:45
18,00:03:44:56
19,00:04:04:02
20_21,00:04:08:40
22,00:04:37:06
23,00:04:58:43
24,00:05:09:48
25,00:05:19:41
26,00:05:36:47
27,00:06:02:23
28,00:06:17:28
29,00:06:26:34
30,00:06:35:24
31,00:06:48:41
32,00:07:13:45
33,00:07:22:53
34,00:07:33:55
35,00:07:47:50
