verse,time
1,00:00:18:03
2,00:01:31:00
3,00:01:51:17
4,00:02:11:20
5,00:02:28:15
6,00:02:53:12
7,00:03:20:06
8,00:03:43:13
9,00:04:02:19
10,00:04:31:19
11,00:04:56:06
12,00:05:03:04
13,00:05:54:00
14,00:06:18:03
15,00:06:58:23
16,00:07:21:24
17,00:07:43:16
18,00:08:23:12
19,00:08:40:10
20,00:09:17:20
21,00:09:32:08
22_23,00:09:46:19
24,00:10:21:21
25,00:10:45:04
26,00:11:14:09
27,00:12:04:01
28,00:12:43:05
29,00:13:23:18
30,00:13:40:12
31,00:13:54:23
32,00:14:10:14
33,00:14:23:21
34,00:14:56:21
35,00:15:39:08
36,00:16:02:19
37,00:16:32:00
38,00:17:08:18
39,00:17:42:11
40,00:17:51:04
41,00:18:37:09
42,00:18:57:03
43,00:19:11:10
44,00:19:37:12
