verse,time
1,00:00:17:49
2,00:00:21:03
3,00:00:32:10
4,00:00:45:06
5,00:01:02:02
6,00:01:13:15
7,00:01:26:50
8,00:01:36:13
9,00:01:54:39
10,00:02:15:08
11,00:02:44:14
12,00:02:51:53
13,00:03:10:05
14,00:03:29:04
15,00:03:51:24
16,00:04:10:58
17,00:04:32:09
18,00:04:53:39
19,00:05:09:28
20,00:05:44:30
21,00:06:11:19
22,00:06:20:28
23,00:06:30:57
24,00:06:54:38
25,00:07:07:45
26,00:07:19:31
27,00:07:38:23
28,00:07:44:45
29,00:07:53:40
30,00:08:09:38
31,00:08:21:34
32,00:08:40:48
33,00:08:52:25
34,00:09:02:28
35_36,00:09:22:12
37,00:10:14:36
