verse,time
1,00:00:26:41
2,00:00:56:30
3,00:01:03:14
4,00:01:28:56
5,00:01:53:47
6,00:02:08:58
7,00:02:30:41
8,00:02:49:50
9,00:03:13:37
10,00:03:24:37
11,00:03:43:33
12,00:03:48:41
13,00:04:10:27
14,00:04:22:16
15,00:04:36:09
16,00:04:54:56
17,00:05:09:23
18,00:05:16:29
19,00:05:23:58
20,00:05:31:31
21,00:05:49:34
22,00:06:08:02
23,00:06:26:21
24,00:06:52:29
25,00:07:08:12
26,00:07:25:21
27,00:07:44:09
28,00:07:49:51
29,00:07:59:59
30,00:08:17:14
31,00:08:25:33
32,00:08:49:54
33,00:09:15:31
34,00:09:31:52
35,00:09:49:09
36,00:10:04:44
